ts_event,symbol,best_level_ofi,integrated_ofi,multi_level_ofi
2024-10-21 12:19:10.828162441+00:00,AAPL,0,-20.740484892608592,-39
2024-10-21 12:19:14.207440891+00:00,AAPL,0,24.786669576305986,200
2024-10-21 12:19:21.463656720+00:00,AAPL,0,0.9327848385211226,39
2024-10-21 12:19:21.463763491+00:00,AAPL,0,7.045758352429502,61
2024-10-21 12:19:31.377322230+00:00,AAPL,-50,-527.9621464708613,-1347
2024-10-21 12:19:31.377334380+00:00,AAPL,50,508.1544464167738,1347
2024-10-21 12:19:31.410847128+00:00,AAPL,-50,-527.9621464708613,-1347
2024-10-21 12:19:31.410860369+00:00,AAPL,0,-44.59436963039346,-200
2024-10-21 12:19:31.424732441+00:00,AAPL,0,-17.811033194348155,-27
2024-10-21 12:19:31.424790390+00:00,AAPL,0,231.41016672845652,781
2024-10-21 12:19:31.428123190+00:00,AAPL,0,-5.220629880591523,27
2024-10-21 12:19:31.428166239+00:00,AAPL,0,500.616409660186,1270
2024-10-21 12:19:31.428177171+00:00,AAPL,0,-44.59436963039346,-200
2024-10-21 12:19:31.428190903+00:00,AAPL,0,59.47718917965571,400
2024-10-21 12:19:35.701549120+00:00,AAPL,0,-44.59436963039346,-200
2024-10-21 12:19:38.701678685+00:00,AAPL,0,24.786669576305986,200
2024-10-21 12:19:38.756179281+00:00,AAPL,0,-44.59436963039346,-200
2024-10-21 12:19:38.756191248+00:00,AAPL,200,209.6585340335973,1400
2024-10-21 12:19:40.083326842+00:00,AAPL,0,-44.59436963039346,-200
2024-10-21 12:19:40.137972145+00:00,AAPL,0,24.786669576305986,200
2024-10-21 12:19:40.137983855+00:00,AAPL,0,24.786669576305986,200
2024-10-21 12:19:42.737152214+00:00,AAPL,-200,-470.78025084318506,-2181
2024-10-21 12:19:42.737165303+00:00,AAPL,0,266.10068633180623,981
2024-10-21 12:19:45.745918365+00:00,AAPL,0,24.786669576305986,200
2024-10-21 12:19:45.800477942+00:00,AAPL,0,-44.59436963039346,-200
2024-10-21 12:19:45.800491117+00:00,AAPL,200,209.6585340335973,1400
2024-10-21 12:19:57.871002706+00:00,AAPL,200,1.5154164134990076,200
2024-10-21 12:20:02.012790106+00:00,AAPL,-200,-470.78025084318506,-2181
2024-10-21 12:20:02.012801350+00:00,AAPL,200,450.97255078909757,2181
2024-10-21 12:20:02.012823085+00:00,AAPL,0,-44.59436963039346,-200
2024-10-21 12:20:02.068202840+00:00,AAPL,200,1.5154164134990076,200
2024-10-21 12:20:02.174072577+00:00,AAPL,0,24.786669576305986,200
2024-10-21 12:20:02.174084216+00:00,AAPL,0,24.786669576305986,200
2024-10-21 12:20:02.195761354+00:00,AAPL,0,396.08201331652066,1299
2024-10-21 12:20:02.197099790+00:00,AAPL,0,-407.1039542958255,-1269
2024-10-21 12:20:17.529659579+00:00,AAPL,0,-525.1073298607256,-1297
2024-10-21 12:20:17.529671598+00:00,AAPL,0,505.2996298066381,1297
2024-10-21 12:20:18.175151492+00:00,AAPL,200,1.5154164134990076,200
2024-10-21 12:20:26.003671349+00:00,AAPL,-200,-470.78025084318506,-2181
2024-10-21 12:20:26.003684074+00:00,AAPL,0,266.10068633180623,981
2024-10-21 12:20:29.005849003+00:00,AAPL,0,24.786669576305986,200
2024-10-21 12:20:29.035461864+00:00,AAPL,5,591.1455412305447,2376
2024-10-21 12:20:32.533970326+00:00,AAPL,0,-520.4241097142734,-1270
2024-10-21 12:20:32.534015766+00:00,AAPL,0,500.616409660186,1270
2024-10-21 12:20:32.588585911+00:00,AAPL,50,27.64148618644167,250
2024-10-21 12:20:32.846313500+00:00,AAPL,-50,-527.9621464708613,-1347
2024-10-21 12:20:32.846324686+00:00,AAPL,0,505.2996298066381,1297
2024-10-21 12:20:32.900943370+00:00,AAPL,50,62.332005789791396,450
2024-10-21 12:20:33.387796787+00:00,AAPL,200,1.5154164134990076,200
2024-10-21 12:20:34.158518772+00:00,AAPL,-200,-21.323116467586477,-200
2024-10-21 12:20:53.732903004+00:00,AAPL,750,822.304313647856,3016
2024-10-21 12:20:54.066325257+00:00,AAPL,200,1.5154164134990076,200
2024-10-21 12:20:54.066539893+00:00,AAPL,-50,-527.9621464708613,-1347
2024-10-21 12:20:54.087884313+00:00,AAPL,50,508.1544464167738,1347
2024-10-21 12:20:54.138010479+00:00,AAPL,-50,-527.9621464708613,-1347
2024-10-21 12:20:54.138024196+00:00,AAPL,0,505.2996298066381,1297
2024-10-21 12:20:54.138635039+00:00,AAPL,0,-520.4241097142734,-1270
2024-10-21 12:20:54.138679423+00:00,AAPL,0,-18.396750466000334,-29
2024-10-21 12:20:54.140701289+00:00,AAPL,0,-44.59436963039346,-200
2024-10-21 12:20:54.259923109+00:00,AAPL,0,24.786669576305986,200
2024-10-21 12:20:54.259936081+00:00,AAPL,50,27.64148618644167,250
2024-10-21 12:20:54.367974373+00:00,AAPL,0,-127.51864056342751,-200
2024-10-21 12:20:54.367988079+00:00,AAPL,0,754.3566203564768,1400
2024-10-21 12:20:54.646524020+00:00,AAPL,0,48.667877138174205,200
2024-10-21 12:20:54.647311583+00:00,AAPL,0,-211.76255749574926,-661
2024-10-21 12:20:54.647352236+00:00,AAPL,0,820.9847616421187,2257
2024-10-21 12:20:54.647382777+00:00,AAPL,0,-1.4109495880871332,29
2024-10-21 12:20:54.647423336+00:00,AAPL,0,500.616409660186,1270
2024-10-21 12:20:54.647922749+00:00,AAPL,200,1.5154164134990076,200
2024-10-21 12:20:54.648117162+00:00,AAPL,-50,-527.9621464708613,-1347
2024-10-21 12:20:54.648128723+00:00,AAPL,0,505.2996298066381,1297
2024-10-21 12:20:54.648446832+00:00,AAPL,0,-520.4241097142734,-1270
2024-10-21 12:20:54.697200659+00:00,AAPL,0,-127.51864056342751,-200
2024-10-21 12:20:54.697212843+00:00,AAPL,0,63.9577999079041,226
2024-10-21 12:20:54.708231641+00:00,AAPL,50,62.332005789791396,450
2024-10-21 12:20:56.393593183+00:00,AAPL,0,500.616409660186,1270
2024-10-21 12:20:56.654348888+00:00,AAPL,-50,-528.4825042649115,-1350
2024-10-21 12:20:56.654361253+00:00,AAPL,0,505.81998760068836,1300
2024-10-21 12:20:56.655676466+00:00,AAPL,0,-520.4241097142734,-1270
2024-10-21 12:21:00.388313049+00:00,AAPL,0,-17.51817455852207,-26
2024-10-21 12:21:01.707857424+00:00,AAPL,-200,-857.45595293103,-3496
2024-10-21 12:21:01.856825426+00:00,AAPL,200,1.5154164134990076,200
2024-10-21 12:21:01.856837629+00:00,AAPL,0,826.2289864363997,3296
2024-10-21 12:21:06.853945458+00:00,AAPL,0,-671.8102060269082,-2057
2024-10-21 12:21:06.917506080+00:00,AAPL,0,-2.2895254955654014,26
2024-10-21 12:21:06.917557816+00:00,AAPL,0,500.616409660186,1270
2024-10-21 12:21:06.921270364+00:00,AAPL,0,-520.4241097142734,-1270
2024-10-21 12:21:06.921738635+00:00,AAPL,0,191.95485744166177,661
